station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TPH,2024-03-01 04:25,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010425Z AUTO 19011KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:30,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010430Z AUTO 19011KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 04:35,,,,190.00,10.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010435Z AUTO 19010KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 04:40,,,,180.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010440Z AUTO 18011KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 04:45,,,,180.00,10.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010445Z AUTO 18010KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 04:50,,,,180.00,10.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010450Z AUTO 18010KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 04:55,,,,180.00,9.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010455Z AUTO 18009KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 05:00,,,,180.00,8.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010500Z AUTO 18008KT 10SM CLR 06/M01 A2986 RMK T00601010 MADISHF,
TPH,2024-03-01 05:05,,,,180.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010505Z AUTO 18007KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 05:10,,,,180.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010510Z AUTO 18007KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 05:15,,,,180.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010515Z AUTO 18007KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 05:20,,,,180.00,8.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010520Z AUTO 18008KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 05:25,,,,180.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010525Z AUTO 18007KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 05:30,,,,180.00,5.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010530Z AUTO 18005KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 05:35,,,,250.00,4.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010535Z AUTO 25004KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 05:40,,,,250.00,4.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010540Z AUTO 25004KT 10SM CLR 03/M02 A2987 RMK T00301020 MADISHF,
TPH,2024-03-01 05:45,,,,0.00,0.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010545Z AUTO 00000KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 05:50,,,,230.00,2.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010550Z AUTO 23002KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 05:55,,,,0.00,0.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010555Z AUTO 00000KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:00,,,,150.00,2.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010600Z AUTO 15002KT 10SM CLR 04/M02 A2987 RMK T00401020 MADISHF,
TPH,2024-03-01 06:05,,,,140.00,4.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010605Z AUTO 14004KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:10,,,,140.00,4.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010610Z AUTO 14004KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:15,,,,140.00,9.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010615Z AUTO 14009KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:20,,,,140.00,8.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010620Z AUTO 14008KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:25,,,,150.00,5.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010625Z AUTO 15005KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:30,,,,170.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010630Z AUTO 17007KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:35,,,,180.00,5.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010635Z AUTO 18005KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 06:40,,,,190.00,7.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010640Z AUTO 19007KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 06:45,,,,190.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010645Z AUTO 19008KT 10SM CLR 03/M02 A2988 RMK T00301020 MADISHF,
TPH,2024-03-01 06:50,,,,180.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010650Z AUTO 18008KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 06:55,,,,170.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010655Z AUTO 17008KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 07:00,,,,160.00,7.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010700Z AUTO 16007KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 07:05,,,,170.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010705Z AUTO 17008KT 10SM CLR 05/M01 A2988 RMK T00501010 MADISHF,
TPH,2024-03-01 07:10,,,,170.00,5.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010710Z AUTO 17005KT 10SM CLR 04/M01 A2989 RMK T00401010 MADISHF,
TPH,2024-03-01 07:15,,,,170.00,5.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010715Z AUTO 17005KT 10SM CLR 04/M01 A2989 RMK T00401010 MADISHF,
TPH,2024-03-01 07:20,,,,180.00,4.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010720Z AUTO 18004KT 10SM CLR 04/M01 A2989 RMK T00401010 MADISHF,
TPH,2024-03-01 07:25,,,,210.00,5.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010725Z AUTO 21005KT 10SM CLR 04/M02 A2989 RMK T00401020 MADISHF,
TPH,2024-03-01 07:30,,,,190.00,5.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010730Z AUTO 19005KT 10SM CLR 04/M02 A2989 RMK T00401020 MADISHF,
TPH,2024-03-01 07:35,,,,210.00,7.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010735Z AUTO 21007KT 10SM CLR 04/M02 A2989 RMK T00401020 MADISHF,
TPH,2024-03-01 07:40,,,,200.00,7.00,,29.89,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010740Z AUTO 20007KT 10SM CLR 04/M02 A2989 RMK T00401020 MADISHF,
TPH,2024-03-01 07:45,,,,190.00,9.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010745Z AUTO 19009KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 07:50,,,,190.00,11.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010750Z AUTO 19011KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 07:55,,,,200.00,11.00,,29.88,,10.00,17.00,CLR,,,,,,,,,,,,,,,,KTPH 010755Z AUTO 20011G17KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 08:00,,,,210.00,11.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010800Z AUTO 21011KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 08:05,,,,210.00,11.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010805Z AUTO 21011KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 08:10,,,,210.00,11.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010810Z AUTO 21011KT 10SM CLR 05/M01 A2988 RMK T00501010 MADISHF,
TPH,2024-03-01 08:15,,,,200.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010815Z AUTO 20008KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 08:20,,,,190.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010820Z AUTO 19005KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 08:25,,,,150.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010825Z AUTO 15005KT 10SM CLR 03/M02 A2988 RMK T00301020 MADISHF,
TPH,2024-03-01 08:30,,,,120.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010830Z AUTO 12005KT 10SM CLR 03/M02 A2988 RMK T00301020 MADISHF,
TPH,2024-03-01 08:35,,,,100.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010835Z AUTO 10005KT 10SM CLR 03/M02 A2988 RMK T00301020 MADISHF,
TPH,2024-03-01 08:40,,,,80.00,9.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010840Z AUTO 08009KT 10SM CLR 02/M02 A2988 RMK T00201020 MADISHF,
TPH,2024-03-01 08:45,,,,130.00,7.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010845Z AUTO 13007KT 10SM CLR 04/M02 A2988 RMK T00401020 MADISHF,
TPH,2024-03-01 08:50,,,,140.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010850Z AUTO 14005KT 10SM CLR 04/M01 A2988 RMK T00401010 VRB05KT  MADISHF,
TPH,2024-03-01 08:55,,,,150.00,9.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010855Z AUTO 15009KT 10SM CLR 04/M01 A2988 RMK T00401010 WND 11V17  MADISHF,
TPH,2024-03-01 09:00,,,,100.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010900Z AUTO 10007KT 10SM CLR 05/M01 A2987 RMK T00501010 MADISHF,
TPH,2024-03-01 09:05,,,,120.00,8.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010905Z AUTO 12008KT 10SM CLR 04/M01 A2987 RMK T00401010 MADISHF,
TPH,2024-03-01 09:10,,,,110.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010910Z AUTO 11008KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 09:15,,,,110.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010915Z AUTO 11005KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 09:20,,,,100.00,7.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010920Z AUTO 10007KT 10SM CLR 04/M01 A2988 RMK T00401010 MADISHF,
TPH,2024-03-01 09:25,,,,100.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010925Z AUTO 10005KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 09:30,,,,130.00,2.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010930Z AUTO 13002KT 10SM CLR 04/M01 A2988 RMK T00401010 VRB03KT  MADISHF,
TPH,2024-03-01 09:35,,,,120.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010935Z AUTO 12005KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 09:40,,,,120.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010940Z AUTO 12005KT 10SM CLR 03/M02 A2988 RMK T00301020 MADISHF,
TPH,2024-03-01 09:45,,,,130.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010945Z AUTO 13005KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 09:50,,,,140.00,5.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010950Z AUTO 14005KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 09:55,,,,150.00,7.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010955Z AUTO 15007KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 10:00,,,,180.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011000Z AUTO 18008KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 10:05,,,,190.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011005Z AUTO 19008KT 10SM CLR 02/M01 A2988 RMK T00201010 MADISHF,
TPH,2024-03-01 10:10,,,,190.00,9.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011010Z AUTO 19009KT 10SM CLR 02/M01 A2987 RMK T00201010 MADISHF,
TPH,2024-03-01 10:15,,,,170.00,7.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011015Z AUTO 17007KT 10SM CLR 02/M01 A2987 RMK T00201010 MADISHF,
TPH,2024-03-01 10:20,,,,190.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011020Z AUTO 19008KT 10SM CLR 02/M01 A2988 RMK T00201010 MADISHF,
TPH,2024-03-01 10:25,,,,180.00,8.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011025Z AUTO 18008KT 10SM CLR 03/M01 A2988 RMK T00301010 MADISHF,
TPH,2024-03-01 10:30,,,,120.00,4.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011030Z AUTO 12004KT 10SM CLR 02/M01 A2988 RMK T00201010 MADISHF,
TPH,2024-03-01 10:35,,,,90.00,4.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 011035Z AUTO 09004KT 10SM CLR 02/M02 A2988 RMK T00201020 MADISHF,
